"experiment_abbreviated"	"Genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"threshold"	"SGD_name"
"F60_P8"	"YOL107W"	-2.03874546566667	6.77729572658651	-8.65601284088015	4.26840852210034e-07	4.20477761728014e-06	6.50681271594949	"TRUE"	"S000005467"
"F60_P8"	"YOL113W"	-2.97985165176471	9.38525593768339	-8.62927980353702	4.43321201355304e-07	4.35261637070213e-06	6.46760111023942	"TRUE"	"S000005473"
"F60_P8"	"YOL114C"	-2.36073905127451	6.78956144309862	-5.479608197133	7.24700195202125e-05	0.00033551186424911	1.19667508781083	"TRUE"	"S000005474"
"F60_P8"	"YOL115W"	-2.86826915660784	8.2358884353045	-13.7297419584211	1.09038391999199e-09	3.94578045061048e-08	12.6406559842152	"TRUE"	"S000005475"
"F60_P8"	"YOL131W"	2.2095424142549	6.53681182397232	6.74775299083577	7.94556987781609e-06	5.01381482384848e-05	3.47905220618432	"TRUE"	"S000005491"
"F60_P8"	"YOL132W"	-5.03253209933333	7.47877108287543	-21.6115526486691	2.08206570189482e-12	9.22962375102459e-10	18.8411780819575	"TRUE"	"S000005492"
"F60_P8"	"YOL136C"	-2.3328613882353	7.63881047815571	-5.2158034777506	0.000117988133422652	0.000518494734193965	0.695507582161145	"TRUE"	"S000005496"
"F60_P8"	"YOL137W"	-4.97891549641177	8.63320196510381	-13.5860841586656	1.25640240145227e-09	4.41150664985173e-08	12.4967113925331	"TRUE"	"S000005497"
"F60_P8"	"YOL138C"	2.24427268352941	7.44856804977855	11.3579431458293	1.35656528575047e-08	2.55417413417736e-07	10.0652145489754	"TRUE"	"S000005498"
"F60_P8"	"YOL141W"	-2.32039253331373	5.18591269124914	-8.01362254953255	1.085631025449e-06	9.17397019837325e-06	5.54023351697421	"TRUE"	"S000005501"
"F60_P8"	"YOL143C"	2.66527419859804	9.01706705064879	13.3187502891629	1.6412604802022e-09	5.30740737047756e-08	12.2250045551964	"TRUE"	"S000005503"
"F60_P8"	"YOL146W"	-2.02000369462745	7.78946123274048	-9.25658289975213	1.86123304447896e-07	2.12009190152159e-06	7.36546382395885	"TRUE"	"S000005506"
"F60_P8"	"YOL148C"	-2.29291728045098	7.72103408331142	-10.2718774676325	4.98618987105698e-08	7.12116312480302e-07	8.72555209920996	"TRUE"	"S000005508"
"F60_P8"	"YOL152W"	-3.38048385547059	6.13424954342215	-18.4775540472687	1.85918830137906e-11	2.63732057844958e-09	16.7153859489663	"TRUE"	"S000005512"
"F60_P8"	"YOL155W-A"	-5.51584579678431	8.498446745609	-13.0276563884802	2.20718161800033e-09	6.67108103235953e-08	11.9233210914363	"TRUE"	"S000028855"
